Date,NY,NJ,CA,MI,FL,WA,IL,LA,MA,PA
"""2020-03-04",,,,,,,,,,
"""2020-03-05",,,,,,,,,,
"""2020-03-06",,,,,,,,,,
"""2020-03-07",,,,,,,,,,
"""2020-03-08",,,,,,,,,,
"""2020-03-09",,,,,,,,,,
"""2020-03-10",,,,,,,,,,
"""2020-03-11",,1,,,2,24,,,,
"""2020-03-12",,1,4,,2,29,,,,
"""2020-03-13",,1,4,,2,31,,,,
"""2020-03-14",,1,5,,3,37,,,,
"""2020-03-15",3,2,5,,4,40,,2,,
"""2020-03-16",7,2,6,,4,42,,2,,
"""2020-03-17",7,3,11,,6,48,1,4,,
"""2020-03-18",12,5,13,,7,52,1,6,,
"""2020-03-19",12,9,18,3,8,66,4,8,,1
"""2020-03-20",35,11,20,3,10,74,5,12,1,1
"""2020-03-21",44,16,24,5,12,83,6,16,1,2
"""2020-03-22",114,20,27,8,13,94,9,20,5,2
"""2020-03-23",114,27,27,15,14,95,12,34,9,6
"""2020-03-24",210,44,40,24,18,110,16,46,11,7
"""2020-03-25",285,62,53,43,22,123,19,65,15,11
"""2020-03-26",385,81,65,60,28,132,26,83,25,16
"""2020-03-27",519,108,78,92,34,147,34,119,35,22
"""2020-03-28",728,140,101,92,54,175,47,137,44,34
"""2020-03-29",965,161,123,132,56,189,65,151,48,38
