Date,NY,NJ,CA,MI,FL,WA,IL,LA,MA,PA
"""2020-03-04",24,,,,16,,27,,,
"""2020-03-05",24,,,0,69,,27,,,
"""2020-03-06",236,,,8,51,,35,,,
"""2020-03-07",236,1,,9,88,66,44,,,
"""2020-03-08",,0,,10,108,60,44,,,
"""2020-03-09",,14,,11,115,,44,,,
"""2020-03-10",,20,,24,155,,63,,,
"""2020-03-11",,20,,18,147,,63,,,54
"""2020-03-12",,20,,27,147,,76,,,81
"""2020-03-13",,80,,26,221,,92,,,130
"""2020-03-14",,80,,26,221,,82,,,150
"""2020-03-15",,34,,26,454,,195,,,183
"""2020-03-16",,20,,30,514,,,,,
"""2020-03-17",,55,,,872,,,,,
"""2020-03-18",,21,,,954,,,,,
"""2020-03-19",,74,,,"1,019",,,,,
"""2020-03-20",,86,,,"1,026",,,,,
"""2020-03-21",,40,,,"1,002",,,,,
"""2020-03-22",,49,,,963,,,,,
"""2020-03-23",,94,"12,100",,860,,,,,
"""2020-03-24",,45,"12,100",,"1,008",,,,,
"""2020-03-25",,,"48,600",,"1,233",,,,,
"""2020-03-26",,,"57,400",,"1,443",,,,,
"""2020-03-27",,,"57,400",,"1,517",,,,,
"""2020-03-28",,,"64,400",,,,,,,
"""2020-03-29",,,"64,400",,,,,,,
