Date,NY,NJ,CA,MI,FL,WA,IL,LA,MA,PA
"""2020-03-04",6,,53,,2,39,4,,2,
"""2020-03-05",22,1,53,0,9,70,5,,2,
"""2020-03-06",33,1,60,0,9,79,5,,8,2
"""2020-03-07",76,4,69,0,14,102,6,0,13,2
"""2020-03-08",105,6,88,0,17,102,6,0,13,4
"""2020-03-09",142,11,114,0,18,136,7,1,41,7
"""2020-03-10",173,15,133,0,19,162,19,1,92,12
"""2020-03-11",216,24,157,2,28,267,19,6,92,15
"""2020-03-12",216,30,202,2,32,337,25,14,95,22
"""2020-03-13",421,50,202,16,50,457,32,36,123,33
"""2020-03-14",524,50,252,25,77,568,46,69,138,47
"""2020-03-15",729,98,293,33,116,642,64,91,138,63
"""2020-03-16",950,178,335,53,141,769,93,114,164,76
"""2020-03-17",1700,267,483,65,186,904,160,171,218,96
"""2020-03-18",2382,427,611,80,314,1012,288,240,256,133
"""2020-03-19",4152,742,924,336,390,1187,422,347,328,185
"""2020-03-20",7102,890,1063,549,520,1376,585,479,413,268
"""2020-03-21",10356,1327,1279,787,658,1524,753,585,525,371
"""2020-03-22",15168,1914,1536,1035,830,1793,1049,837,646,479
"""2020-03-23",20875,2844,1733,1328,1171,1996,1273,1172,777,644
"""2020-03-24",25665,3675,2102,1791,1412,2221,1535,1388,1159,851
"""2020-03-25",30811,4402,2355,2294,1682,2469,1865,1795,1838,1127
"""2020-03-26",37258,6876,3006,2856,2355,2580,2538,2305,2417,1687
"""2020-03-27",44635,8825,3879,3657,2765,3207,3026,2746,3240,2218
"""2020-03-28",52318,11124,4643,3657,3763,3723,3491,3315,4257,2751
"""2020-03-29",59513,13386,5708,5486,4246,4310,4596,3540,4955,3394
